Id,Test.Name,EvaluationOrder,Species.Name,LimitIsAbsolute,Limit,Severity,DayLimit,Eligible.Description,Comment.Mnemonic
9022,TG,1,?,no,25,5,?,?,DS_Comment_TG
9023,TC,1,?,no,10,5,?,?,DS_Comment_TC
9024,GGT,1,?,no,20,5,?,?,DS_Comment_GGT
9025,HDL-C,1,?,no,30,5,?,?,DS_Comment_HDL-C
9026,AFU,1,?,no,10,5,?,?,DS_Comment_AFU
9027,LDL-C,1,?,no,30,5,?,?,DS_Comment_LDL-C
9028,LDH,1,?,no,20,5,?,?,DS_Comment_LDH
9029,CysC,1,?,no,10,5,?,?,DS_Comment_CysC
9030,CK-MB,1,?,no,30,5,?,?,DS_Comment_CK-MB
9031,CK,1,?,no,30,5,?,?,DS_Comment_CK
10017,PGI/PGII,1,?,no,20,5,?,?,DS_Comment_PGI_PGII
10018,GP73,1,?,no,20,5,?,?,DS_Comment_GP73
10019,CA242,1,?,no,20,5,?,?,DS_Comment_CA242
10020,PGI,1,?,no,20,5,?,?,DS_Comment_PGI
10021,PGII,1,?,no,20,5,?,?,DS_Comment_PGII
10022,WBC,1,?,no,50,5,3,Eligible_DS_WBC,DS_Comment_WBC_20170627174609706
10023,HGB,1,?,no,20,5,5,?,DS_Comment_HGB_20170627174609716
10024,MCV,1,?,no,10,5,7,?,DS_Comment_MCV_20170627174609726
10025,PLT,1,?,no,50,5,3,Eligible_DS_PLT,DS_Comment_PLT_20170627174609736
10026,HbA1c,1,?,no,30,5,10,?,DS_Comment_HbA1c_20170627174609746
10027,aTG,1,?,no,25,5,?,?,DS_Comment_aTG_20170627174017827
10028,aTPO,1,?,no,25,5,?,?,DS_Comment_aTPO_20170627174017837
10029,HBsAg,1,?,no,25,5,?,?,DS_Comment_HBsAg_20170627174017847
10030,HBsAb,1,?,no,25,5,?,?,DS_Comment_HBsAb_20170627174017857
10031,HBeAg,1,?,no,25,5,?,?,DS_Comment_HBeAg_20170627174017868
10032,HBeAb,1,?,no,25,5,?,?,DS_Comment_HBeAb_20170627174017878
10033,HBcAb,1,?,no,25,5,?,?,DS_Comment_HBcAb_20170627174017888
10034,HIV-AgAb,1,?,no,25,5,?,?,DS_Comment_HIV-AgAb_20170627174017898
10035,Anti-HCV,1,?,no,25,5,?,?,DS_Comment_Anti-HCV_20170627174017908
10036,Anti-TP,1,?,no,25,5,?,?,DS_Comment_Anti-TP_20170627174017918
10037,CA125,1,?,no,25,5,?,?,DS_Comment_CA125_20170627174017928
10038,SCC,1,?,no,25,5,?,?,DS_Comment_SCC_20170627174017938
10039,HE4,1,?,no,25,5,?,?,DS_Comment_HE4_20170627174017948
10040,POST_ROMA,1,?,no,25,5,?,?,DS_Comment_POST_ROMA_20170627174017958
10041,PREM_ROMA,1,?,no,25,5,?,?,DS_Comment_PREM_ROMA_20170627174017968
10042,CA72-4,1,?,no,25,5,?,?,DS_Comment_CA72-4_20170627174017978
10043,CYFRA21-1,1,?,no,25,5,?,?,DS_Comment_CYFRA21-1_20170627174017988
10044,NSE,1,?,no,25,5,?,?,DS_Comment_NSE_20170627174017998
10045,t-PSA,1,?,no,25,5,?,?,DS_Comment_t-PSA_20170627174018850
10046,f-PSA,1,?,no,25,5,?,?,DS_Comment_f-PSA_20170627174018185
10047,INS,1,?,no,25,5,?,?,DS_Comment_INS_20170627174018285
10048,C-P,1,?,no,25,5,?,?,DS_Comment_C-P_20170627174018395
10049,AMH,1,?,no,25,5,?,?,DS_Comment_AMH_20170627174018495
10050,PTH,1,?,no,25,5,?,?,DS_Comment_PTH_20170627174018595
10051,totalVit-D,1,?,no,25,5,?,?,DS_Comment_totalVit-D_20170627174018695
10052,TGP,1,?,no,25,5,?,?,DS_Comment_TGP_20170627174018795
10053,IgE,1,?,no,25,5,?,?,DS_Comment_IgE_20170627174018895
10054,B2-M,1,?,no,25,5,?,?,DS_Comment_B2-M_20170627174018995
10055,C3,1,?,no,25,5,?,?,DS_Comment_C3_20170627174018109
10056,C4,1,?,no,25,5,?,?,DS_Comment_C4_20170627174018119
10057,IgA,1,?,no,25,5,?,?,DS_Comment_IgA_20170627174018129
10058,IgM,1,?,no,25,5,?,?,DS_Comment_IgM_20170627174018139
10059,IgG,1,?,no,25,5,?,?,DS_Comment_IgG_20170627174018149
10060,HbA,1,?,no,25,5,?,?,DS_Comment_HbA_20170627174018159
10061,HbA2,1,?,no,25,5,?,?,DS_Comment_HbA2_20170627174018169
10062,HbF,1,?,no,25,5,?,?,DS_Comment_HbF_20170627174018179
10063,WBCa,1,?,no,30,5,?,?,DS_Comment_WBCa_20170627174018189
10064,WBMg,1,?,no,30,5,?,?,DS_Comment_WBMg_20170627174018199
10065,WBZn,1,?,no,30,5,?,?,DS_Comment_WBZn_20170627174018209
10066,WBFe,1,?,no,30,5,?,?,DS_Comment_WBFe_20170627174018219
10067,WBCu,1,?,no,30,5,?,?,DS_Comment_WBCu_20170627174018229
10068,WBPb,1,?,no,30,5,?,?,DS_Comment_WBPb_20170627174018239
10243,test1,?,?,no,20,5,7,?,?
10249,test_2,1,?,no,20,5,30,?,?
