Id,Test.Name,EvaluationOrder,Sex,Species.Name,MinAge,MaxAge,AgeUnit.Name,LowLimit,HighLimit,Severity,Method.Instrument.Name,Eligible.Description,Comment.Mnemonic
8925,BUN,7,Female,?,60.00001,80,Year,3.1,8.8,5,?,?,NS_Comment_BUN_60_79_F
8926,Cr,2,Male,?,20.00001,60,Year,57,97,5,?,?,NS_Comment_Cr_20_59_M
8927,Cr,3,Male,?,60.00001,80,Year,57,111,5,?,?,NS_Comment_Cr_60_79_M
8928,Cr,6,Female,?,20.00001,60,Year,41,73,5,?,?,NS_Comment_Cr_20_59_F
8929,Cr,7,Female,?,60.00001,80,Year,41,81,5,?,?,NS_Comment_Cr_60_79_F
8930,UA,1,Male,?,?,?,?,208,428,5,?,?,NS_Comment_UA_M
8931,UA,2,Female,?,?,?,?,155,357,5,?,?,NS_Comment_UA_F
8932,HCY,?,?,?,?,?,?,0,10,5,?,?,NS_Comment_HCY
8933,GLU,?,?,?,?,?,?,4.1,5.9,5,?,?,NS_Comment_GLU
8934,TG,?,?,?,?,?,?,.17,1.7,5,?,?,NS_Comment_TG
8935,TC,?,?,?,?,?,?,2.4,5.2,5,?,?,NS_Comment_TC
8936,APOB,1,Male,?,?,?,?,.46,1.74,5,?,?,NS_Comment_APOB_M
8937,HDL-C,?,?,?,?,?,?,1,1.6,5,?,?,NS_Comment_HDL-C
8938,APOB,2,Female,?,?,?,?,.46,1.42,5,?,?,NS_Comment_APOB_F
8940,CysC,?,?,?,?,?,?,.55,1.05,5,?,?,NS_Comment_Cysc
8941,CK,1,Male,?,?,?,?,32,294,5,?,?,NS_Comment_CK_M
8942,APOA1,1,Male,?,?,?,?,.79,1.69,5,?,?,NS_Comment_APOA1_M
8943,CK,2,Female,?,?,?,?,33,211,5,?,?,NS_Comment_CK_F
8944,APOA1,2,Female,?,?,?,?,.76,2.14,5,?,?,NS_Comment_APOA1_F
8945,CK-MB,?,?,?,?,?,?,7,25,5,?,?,NS_Comment_CK-MB
8946,ADA,?,?,?,?,?,?,0,20,5,?,?,NS_Comment_ADA
8947,LDH,?,?,?,?,?,?,120,246,5,?,?,NS_Comment_LDH
8948,AFU,?,?,?,?,?,?,12,40,5,?,?,NS_Comment_AFU
8949,GGT,1,Male,?,?,?,?,10,60,5,?,?,NS_Comment_GGT_M
8950,GGT,2,Female,?,?,?,?,7,45,5,?,?,NS_Comment_GGT_F
8964,BUN,1,Male,?,0,20,Year,-666666,-666666,5,?,?,NS_Comment_BUN_00_20_M
8965,BUN,4,Male,?,80.00001,999,Year,-999999,-999999,5,?,?,NS_Comment_BUN_80_99_M
8967,BUN,5,Female,?,0,20,Year,-666666,-666666,5,?,?,NS_Comment_BUN_00_20_F
8968,BUN,8,Female,?,80.00001,999,Year,-666666,-666666,5,?,?,NS_Comment_BUN_80_99_F
8969,Cr,1,Male,?,0,20,Year,-666666,-666666,5,?,?,NS_Comment_Cr_00_20_M
8971,Cr,4,Male,?,80.00001,999,Year,-666666,-666666,5,?,?,NS_Comment_Cr_80_99_M
8972,Cr,5,Female,?,0,20,Year,-666666,-666666,5,?,?,NS_Comment_Cr_00_20_F
8973,Cr,8,Female,?,80.00001,999,Year,-666666,-666666,5,?,?,NS_Comment_Cr_80_99_F
8974,ALP,1,Male,?,?,?,?,45,125,5,?,?,NS_Comment_ALP_M
8975,ALP,5,Female,?,0,20,Year,-666666,-666666,5,?,?,NS_Comment_ALP_00_19_F
8976,ALP,6,Female,?,20.00001,50,Year,35,100,5,?,?,NS_Comment_ALP_20_49_F
8977,ALP,7,Female,?,50.00001,80,Year,50,135,5,?,?,NS_Comment_ALP_50_79_F
8978,ALP,8,Female,?,80.00001,999,Year,-666666,-666666,5,?,?,NS_Comment_ALP_80_99_F
8979,ASO,1,?,?,0,18,Year,0,150,5,?,?,NS_Comment_ASO_00_18
8980,ASO,2,?,?,18.00001,999,Year,0,200,5,?,?,NS_Comment_ASO_18_99
8981,RF,1,?,?,?,?,?,0,14,5,?,?,NS_Comment_RF
8982,hs-CRP,1,?,?,0,18,Year,0,1.6,5,?,?,NS_Comment_hsCRP_00_18
8983,hs-CRP,2,?,?,18.00001,999,Year,0,5,5,?,?,NS_Comment_hsCRP_18_99
8984,PA,1,?,?,0,18,Year,100,200,5,?,?,NS_Comment_PA_00_18
8985,PA,2,?,?,18,99,Year,200,400,5,?,?,NS_Comment_PA_18_99
9327,LDL-C,?,?,?,?,?,?,0,2.6,5,?,?,NS_Comment_LDL-C
9328,TSH3UL,1,?,?,0,2,Year,-666666,-666666,5,?,?,NS_Comment_TSH3UL_00_02
9865,PGI/PGII,1,?,?,?,?,?,7.5,100,5,?,?,NS_Comment_PGI/PGII_?_?_?_20170627132236803
9866,GP73,1,?,?,?,?,?,0,135,5,?,?,NS_Comment_GP73_?_?_?_20170627132236813
9867,CA242,1,?,?,?,?,?,0,15,5,?,?,NS_Comment_CA242_?_?_?_20170627132236823
9868,PGI,1,?,?,?,?,?,60,240,5,?,?,NS_Comment_PGI_?_?_?_20170627132236833
9869,PGII,1,?,?,?,?,?,0,13,5,?,?,NS_Comment_PGII_?_?_?_20170627132236843
9878,aTG,1,?,?,?,?,?,0,60,5,?,?,NS_Comment_aTG_?_?_?_20170627134655718
9879,aTPO,1,?,?,?,?,?,0,60,5,?,?,NS_Comment_aTPO_?_?_?_20170627134655728
9885,HIV-AgAb,1,?,?,?,?,?,0,1,5,?,?,NS_Comment_HIV-AgAb_?_?_?_20170627134655788
9886,Anti-TP,1,?,?,?,?,?,0,1,5,?,?,NS_Comment_Anti-TP_?_?_?_20170627134655808
9887,CA125,1,?,?,?,?,?,0,35,5,?,?,NS_Comment_CA125_?_?_?_20170627134655821
9888,SCC,1,?,?,?,?,?,0,1.5,5,?,?,NS_Comment_SCC_?_?_?_20170627134655832
9890,POST_ROMA,1,?,?,?,?,?,0,25.3,5,?,?,NS_Comment_POST_ROMA_?_?_?_20170627134655853
9891,PREM_ROMA,1,?,?,?,?,?,0,7.4,5,?,?,NS_Comment_PREM_ROMA_?_?_?_20170627134655863
9892,CA72-4,1,?,?,?,?,?,0,6.9,5,?,?,NS_Comment_CA72-4_?_?_?_20170627134655873
9894,NSE,1,?,?,?,?,?,0,16.3,5,?,?,NS_Comment_NSE_?_?_?_20170627134655893
9895,t-PSA,1,?,?,?,?,?,0,4,5,?,?,NS_Comment_t-PSA_?_?_?_20170627134655903
9897,INS,1,?,?,?,?,?,17.8,173,5,?,?,NS_Comment_INS_?_?_?_20170627134655923
9898,C-P,1,?,?,?,?,?,1.1,4.4,5,?,?,NS_Comment_C-P_?_?_?_20170627134655933
9899,AMH,1,?,?,?,?,?,1.18,9.49,5,?,?,NS_Comment_AMH_?_?_?_20170627134655943
9900,PTH,1,?,?,?,?,?,15,65,5,?,?,NS_Comment_PTH_?_?_?_20170627134655953
9901,totalVit-D,1,?,?,?,?,?,75,999,5,?,?,NS_Comment_totalVit-D_?_?_?_20170627134655963
9902,TGP,1,?,?,?,?,?,1.4,78,5,?,?,NS_Comment_TGP_?_?_?_20170627134655973
9904,B2-M,1,?,?,?,?,?,.7,1.8,5,?,?,NS_Comment_B2-M_?_?_?_20170627134655993
9912,HbF,1,?,?,?,?,?,0,2,5,?,?,NS_Comment_HbF_?_?_?_20170627134656740
9913,WBCa,1,?,?,0,1,Year,1.74,2.3,5,?,?,NS_Comment_WBCa_?_0_1_20170627134656840
9916,WBCa,3,?,?,2,7,Year,1.57,2.14,5,?,?,NS_Comment_WBCa_?_2_7_20170627134656104
9918,WBMg,1,?,?,?,?,?,1.12,2.06,5,?,?,NS_Comment_WBMg_?_?_?_20170627134656134
9919,WBZn,1,?,?,?,?,?,58,170,5,?,?,NS_Comment_WBZn_?_?_?_20170627134656144
9920,WBFe,1,?,?,?,?,?,7.52,11.82,5,?,?,NS_Comment_WBFe_?_?_?_20170627134656154
9921,WBCu,1,?,?,?,?,?,11,39.3,5,?,?,NS_Comment_WBCu_?_?_?_20170627134656164
9922,WBPb,1,?,?,0,12,Year,0,100,5,?,?,NS_Comment_WBPb_?_0_12_20170627134656174
9926,HBsAg,1,?,?,?,?,?,0,.05,5,?,?,NS_Comment_HBsAg_?_?_?_20170627134655738
9927,HBsAb,1,?,?,?,?,?,0,999,5,?,?,NS_Comment_HBsAb_?_?_?_20170627134655748
9928,HBeAg,1,?,?,?,?,?,0,1,5,?,?,NS_Comment_HBeAg_?_?_?_20170627134655758
9929,HBeAb,1,?,?,?,?,?,1,999,5,?,?,NS_Comment_HBeAb_?_?_?_20170627134655768
9930,HBcAb,1,?,?,?,?,?,1,999,5,?,?,NS_Comment_HBcAb_?_?_?_20170627134655778
9932,Anti-HCV,1,?,?,?,?,?,0,1,5,?,?,NS_Comment_Anti-HCV_?_?_?_20170627134655798
9936,HE4,1,?,?,?,?,?,0,140,5,?,?,NS_Comment_HE4_?_?_?_20170627134655842
9940,CYFRA21-1,1,?,?,?,?,?,0,3.3,5,?,?,NS_Comment_CYFRA21-1_?_?_?_20170627134655883
9943,f-PSA,1,?,?,?,?,?,0,.93,5,?,?,NS_Comment_f-PSA_?_?_?_20170627134655913
9950,IgE,1,?,?,?,?,?,0,100,5,?,?,NS_Comment_IgE_?_?_?_20170627134655983
9952,C3,1,?,?,?,?,?,.9,1.8,5,?,?,NS_Comment_C3_?_?_?_20170627134656300
9953,C4,1,?,?,?,?,?,.1,.4,5,?,?,NS_Comment_C4_?_?_?_20170627134656135
9954,IgA,1,?,?,?,?,?,.7,4,5,?,?,NS_Comment_IgA_?_?_?_20170627134656240
9955,IgM,1,?,?,?,?,?,.4,2.3,5,?,?,NS_Comment_IgM_?_?_?_20170627134656340
9956,IgG,1,?,?,?,?,?,7,16,5,?,?,NS_Comment_IgG_?_?_?_20170627134656440
9957,HbA,1,?,?,?,?,?,94.5,97.5,5,?,?,NS_Comment_HbA_?_?_?_20170627134656540
9958,HbA2,1,?,?,?,?,?,2.5,3.5,5,?,?,NS_Comment_HbA2_?_?_?_20170627134656640
9961,WBCa,2,?,?,1,2,Year,1.64,2.23,5,?,?,NS_Comment_WBCa_?_1_2_20170627134656940
9962,WBCa,5,?,?,12,999,Year,1.42,1.9,5,?,?,NS_Comment_WBCa_?_12_999_20170627134656124
9964,WBCa,4,?,?,7,12,Year,1.51,2.01,5,?,?,NS_Comment_WBCa_?_7_12_20170627134656114
9970,WBPb,2,?,?,12,999,Year,0,200,5,?,?,NS_Comment_WBPb_?_12_999_20170627134656184
9971,WBC,1,?,?,0,6,Year,4,30,5,?,?,NS_Comment_WBC_?_0_6_20170627141725532
9972,WBC,2,?,?,6,999,Year,3.5,30,5,?,?,NS_Comment_WBC_?_6_999_20170627141725522
9973,LYMc,1,?,?,0,12,Year,0,7,5,?,?,NS_Comment_LYMc_?_0_12_20170627141725552
9974,LYMc,2,?,?,12,999,Year,0,5,5,?,?,NS_Comment_LYMc_?_12_999_20170627141725542
9975,LYMp,1,?,?,?,?,?,20,50,5,?,?,NS_Comment_LYMp_?_?_?_20170627141725562
9976,NEUTc,1,?,?,?,?,?,1,20,5,?,?,NS_Comment_NEUTc_?_?_?_20170627141725572
9977,NEUTp,1,?,?,?,?,?,40,75,5,?,?,NS_Comment_NEUTp_?_?_?_20170627141725582
9978,MONOc,1,?,?,0,12,Year,0,3,5,?,?,NS_Comment_MONOc_?_0_12_20170627141725602
9979,MONOc,2,?,?,12,999,Year,0,1.5,5,?,?,NS_Comment_MONOc_?_12_999_20170627141725592
9980,MONOp,1,?,?,?,?,?,3,10,5,?,?,NS_Comment_MONOp_?_?_?_20170627141725612
9981,BASOc,1,?,?,?,?,?,0,.5,5,?,?,NS_Comment_BASOc_?_?_?_20170627141725622
9982,BASOp,1,?,?,?,?,?,0,1,5,?,?,NS_Comment_BASOp_?_?_?_20170627141725632
9983,EOSc,1,?,?,?,?,?,0,2,5,?,?,NS_Comment_EOSc_?_?_?_20170627141725642
9984,EOSp,1,?,?,?,?,?,.4,8,5,?,?,NS_Comment_EOSp_?_?_?_20170627141725652
9985,RBC,4,Male,?,6,999,Year,4.3,5.8,5,?,?,NS_Comment_RBC_Male_6_999_20170627141725662
9986,RBC,5,Female,?,6,999,Year,3.8,5.1,5,?,?,NS_Comment_RBC_Female_6_999_20170627141725672
9987,RBC,1,?,?,0,28,Day,5.2,6.4,5,?,?,NS_Comment_RBC_?_0_28_20170627141725702
9988,RBC,3,?,?,1,6,Year,3.9,5.1,5,?,?,NS_Comment_RBC_?_1_6_20170627141725682
9989,RBC,2,?,?,28,365,Day,3.58,4.8,5,?,?,NS_Comment_RBC_?_28_365_20170627141725692
9990,HGB,4,Male,?,6,999,Year,70,195,5,?,?,NS_Comment_HGB_Male_6_999_20170627141725712
9991,HGB,5,Female,?,6,999,Year,70,170,5,?,?,NS_Comment_HGB_Female_6_999_20170627141725722
9992,HGB,1,?,?,0,28,Day,70,210,5,?,?,NS_Comment_HGB_?_0_28_20170627141725752
9993,HGB,3,?,?,1,6,Year,70,170,5,?,?,NS_Comment_HGB_?_1_6_20170627141725732
9994,HGB,2,?,?,28,365,Day,70,160,5,?,?,NS_Comment_HGB_?_28_365_20170627141725742
9995,HCT,1,Male,?,?,?,?,.4,.5,5,?,?,NS_Comment_HCT_Male_?_?_20170627141725762
9996,HCT,2,Female,?,?,?,?,.35,.45,5,?,?,NS_Comment_HCT_Female_?_?_20170627141725772
9997,MCV,1,?,?,?,?,?,70,105,5,?,?,NS_Comment_MCV_?_?_?_20170627141725782
9998,MCH,1,?,?,?,?,?,27,34,5,?,?,NS_Comment_MCH_?_?_?_20170627141725792
9999,MCHC,1,?,?,?,?,?,300,364,5,?,?,NS_Comment_MCHC_?_?_?_20170627141725802
10000,RDW-SD,1,?,?,?,?,?,35,56,5,?,?,NS_Comment_RDW-SD_?_?_?_20170627141725812
10001,RDW-CV,1,?,?,?,?,?,.115,.15,5,?,?,NS_Comment_RDW-CV_?_?_?_20170627141725822
10002,PLT,1,?,?,0,6,Year,100,600,5,?,?,NS_Comment_PLT_?_0_6_20170627141725842
10003,PLT,2,?,?,6,999,Year,125,600,5,?,?,NS_Comment_PLT_?_6_999_20170627141725832
10004,PCT,1,?,?,?,?,?,.18,.22,5,?,?,NS_Comment_PCT_?_?_?_20170627141725852
10005,PDW,1,?,?,?,?,?,9.4,12.5,5,?,?,NS_Comment_PDW_?_?_?_20170627141725862
10006,MPV,1,?,?,?,?,?,9,17,5,?,?,NS_Comment_MPV_?_?_?_20170627141725872
10007,PLCC,1,?,?,?,?,?,11,45,5,?,?,NS_Comment_PLCC_?_?_?_20170627141725882
10008,PLCR,1,?,?,?,?,?,30,90,5,?,?,NS_Comment_PLCR_?_?_?_20170627141725892
10009,CRP,1,?,?,?,?,?,0,10,5,?,?,NS_Comment_CRP_?_?_?_20170627141725902
10010,RETICc,1,?,?,?,?,?,24,84,5,?,?,NS_Comment_RETICc_?_?_?_20170627141725912
10011,RETICp,1,?,?,0,28,Day,3,6,5,?,?,NS_Comment_RETICp_?_0_28_20170627141725942
10012,RETICp,3,?,?,1,999,Year,.5,1.5,5,?,?,NS_Comment_RETICp_?_1_999_20170627141725922
10013,RETICp,2,?,?,28,365,Day,.5,1.5,5,?,?,NS_Comment_RETICp_?_28_365_20170627141725932
10014,HbA1c,1,?,?,?,?,?,4,12,5,?,?,NS_Comment_HbA1c_?_?_?_20170627141725952
10069,TT,1,?,?,?,?,?,14,21,5,?,?,NS_Comment_TT_?_?_?_20170627180651678
10070,Fib,1,?,?,?,?,?,2,4,5,?,?,NS_Comment_Fib_?_?_?_20170627180651688
10071,D-Di,1,?,?,?,?,?,0,.55,5,?,?,NS_Comment_D-Di_?_?_?_20170627180651698
10072,PT%,1,?,?,?,?,?,80,120,5,?,?,NS_Comment_PT%_?_?_?_20170627180651708
10073,PTR,1,?,?,?,?,?,.8,1.2,5,?,?,NS_Comment_PTR_?_?_?_20170627180651718
10074,INR,1,?,?,?,?,?,.8,1.2,5,?,?,NS_Comment_INR_?_?_?_20170627180651728
10075,TNT-HSST,1,?,?,?,?,?,0,14,5,?,?,NS_Comment_TNT-HSST_?_?_?_20170627180651738
10076,MYO-STAT,1,Male,?,?,?,?,28,72,5,?,?,NS_Comment_MYO-STAT_Male_?_?_20170627180651748
10077,MYO-STAT,2,Female,?,?,?,?,25,58,5,?,?,NS_Comment_MYO-STAT_Female_?_?_20170627180651758
10078,CKMB-STAT,1,Male,?,?,?,?,0,3.61,5,?,?,NS_Comment_CKMB-STAT_Male_?_?_20170627180651769
10079,CKMB-STAT,2,Female,?,?,?,?,0,4.87,5,?,?,NS_Comment_CKMB-STAT_Female_?_?_20170627180651779
10080,pro-BNP,1,?,?,0,50,Year,0,450,5,?,?,NS_Comment_pro-BNP_?_0_50_20170627180651789
10081,pro-BNP,2,?,?,50,75,Year,0,900,5,?,?,NS_Comment_pro-BNP_?_50_75_20170627180651799
10082,pro-BNP,3,?,?,75,999,Year,0,1800,5,?,?,NS_Comment_pro-BNP_?_75_999_20170627180651809
10084,eE2,1,Male,?,?,?,?,0,146.1,5,?,?,NS_Comment_eE2_Male_?_?_20170627180651829
10085,eE2,2,Female,?,?,?,?,-.01,0,5,?,?,NS_Comment_eE2_Female_?_?_20170627180651839
10086,PRGE,1,Male,?,?,?,?,0,4.11,5,?,?,NS_Comment_PRGE_Male_?_?_20170627180651849
10087,PRGE,2,Female,?,?,?,?,-.01,0,5,?,?,NS_Comment_PRGE_Female_?_?_20170627180651859
10088,LH,3,Male,?,20,70,Year,1.5,9.3,5,?,?,NS_Comment_LH_Male_20_70_20170627180651879
10089,LH,2,Male,?,6,20,Year,-.01,0,5,?,?,NS_Comment_LH_Male_6_20_20170627180651869
10090,LH,4,Male,?,70,999,Year,3.1,34.6,5,?,?,NS_Comment_LH_Male_70_999_20170627180651889
10091,LH,5,Female,?,?,?,?,-.01,0,5,?,?,NS_Comment_LH_Female_?_?_20170627180651909
10092,LH,1,?,?,0,6,Year,0,6,5,?,?,NS_Comment_LH_?_0_6_20170627180651899
10093,FSH,1,Male,?,0,13,Year,-.01,0,5,?,?,NS_Comment_FSH_Male_0_13_20170627180651919
10094,FSH,2,Male,?,13,70,Year,1.4,18.1,5,?,?,NS_Comment_FSH_Male_13_70_20170627180651929
10095,FSH,3,Male,?,70,999,Year,-.01,0,5,?,?,NS_Comment_FSH_Male_70_999_20170627180651939
10096,FSH,4,Female,?,?,?,?,-.01,0,5,?,?,NS_Comment_FSH_Female_?_?_20170627180651949
10097,PRL,1,Male,?,?,?,?,45,375,5,?,?,NS_Comment_PRL_Male_?_?_20170627180651959
10098,PRL,2,Female,?,?,?,?,-.01,0,5,?,?,NS_Comment_PRL_Female_?_?_20170627180651969
10099,TSTO,1,Male,?,?,?,?,8.4,28.7,5,?,?,NS_Comment_TSTO_Male_?_?_20170627180651979
10100,TSTO,2,Female,?,?,?,?,.5,2.6,5,?,?,NS_Comment_TSTO_Female_?_?_20170627180651989
10101,IRON,1,Male,?,?,?,?,11.6,31.3,5,?,?,NS_Comment_IRON_Male_?_?_20170627180651999
10102,IRON,2,Female,?,?,?,?,9,30.4,5,?,?,NS_Comment_IRON_Female_?_?_20170627180652900
10103,UIBC,1,?,?,?,?,?,19.7,66.2,5,?,?,NS_Comment_UIBC_?_?_?_20170627180652190
10104,TIBC,1,?,?,?,?,?,44.8,80.6,5,?,?,NS_Comment_TIBC_?_?_?_20170627180652290
10105,TRSF,1,?,?,?,?,?,2.3,4.1,5,?,?,NS_Comment_TRSF_?_?_?_20170627180652390
10106,TCO2,1,?,?,?,?,?,21,32,5,?,?,NS_Comment_TCO2_?_?_?_20170627180652490
10107,AMY,1,?,?,?,?,?,28,100,5,?,?,NS_Comment_AMY_?_?_?_20170627180652590
10108,U-AMY,1,?,?,?,?,?,59,401,5,?,?,NS_Comment_U-AMY_?_?_?_20170627180652690
10109,LIP,1,?,?,?,?,?,13,60,5,?,?,NS_Comment_LIP_?_?_?_20170627180652790
10110,AMON,1,?,?,?,?,?,11,32,5,?,?,NS_Comment_AMON_?_?_?_20170627180652890
10111,CHE,1,?,?,?,?,?,4300,10500,5,?,?,NS_Comment_CHE_?_?_?_20170627180652990
10116,ThCG,1,?,?,?,?,?,.001,.001,5,?,?,DS_Comment_ThCG
10235,PCT-MY,1,?,?,?,?,?,0,.046,5,?,?,NS_Comment_PCT-MY_?_?_?_20170627180651819
10248,test_2,1,Male,?,10,20,Year,10,100,5,?,?,DS_Comment_ALT
10250,PT,1,?,?,0,28,Day,13,20,5,?,?,NS_Comment_PT_?_0_28_20170630100159587
10251,PT,3,?,?,1,18,Year,-1,0,5,?,?,NS_Comment_PT_?_1_18_20170630100159618
10252,PT,4,?,?,18,999,Year,9.8,12.1,5,?,?,NS_Comment_PT_?_18_999_20170630100159634
10253,PT,2,?,?,28,365,Day,-1,0,5,?,?,NS_Comment_PT_?_28_365_20170630100159603
10254,APTT,1,?,?,0,28,Day,45,65,5,?,?,NS_Comment_APTT_?_0_28_20170630100159650
10255,APTT,3,?,?,1,18,Year,-1,0,5,?,?,NS_Comment_APTT_?_1_18_20170630100159681
10256,APTT,4,?,?,18,999,Year,22.5,34,5,?,?,NS_Comment_APTT_?_18_999_20170630100159696
10257,APTT,2,?,?,28,365,Day,-1,0,5,?,?,NS_Comment_APTT_?_28_365_20170630100159665
