Id,Test.Name,EvaluationOrder,Sex,Species.Name,MinAge,MaxAge,AgeUnit.Name,LowLimit,HighLimit,Severity,Method.Instrument.Name,Eligible.Description,Comment.Mnemonic
7924,GSP,5,?,?,?,?,?,85.4,472,5,?,Eligible_GSP_NS,NS_Comment_GSP
7925,Cys-C,5,Male,?,?,?,?,.44,3.75,5,?,Eligible_Cys-C_NS,NS_Comment_Cys-C
7926,Cys-C,5,Female,?,?,?,?,.38,3.45,5,?,Eligible_Cys-C_NS,NS_Comment_Cys-C-F
7927,HCY,5,?,?,?,?,?,4,16,5,?,Eligible_HCY_NS,NS_Comment_HCY
7928,HDL-C,5,?,?,?,?,?,.45,4.38,5,?,Eligible_HDL-C_NS,NS_Comment_HDL-C
7929,LDL-C,5,?,?,?,?,?,.5,6.72,5,?,Eligible_LDL-C_NS,NS_Comment_LDL-C
7930,apoA1,5,?,?,?,?,?,.5,3.2,5,?,Eligible_apoA1_NS,NS_Comment_apo-A1
7931,apoB,5,?,?,?,?,?,.42,2.2,5,?,Eligible_apoB_NS,NS_Comment_apo-B
7932,Ca,5,?,?,?,?,?,1.87,3.12,5,?,Eligible_CA_NS,NS_Comment_Ca
7933,P,5,?,?,?,?,?,.62,2.27,5,?,Eligible_P_NS,NS_Comment_P
7934,Mg,5,?,?,?,?,?,.56,1.54,5,?,Eligible_Mg_NS,NS_Comment_Mg
7935,AMS,5,?,?,?,?,?,27.3,468,5,?,Eligible_AMS_NS,NS_Comment_AMS
7936,CRP,5,?,?,?,?,?,.01,75,5,?,Eligible_CRP_NS,NS_Comment_CRP
7937,LPS,5,?,?,?,?,?,2,240,5,?,Eligible_LPS_NS,NS_Comment_LPS
7938,TBA,5,?,?,?,?,?,.1,60,5,?,Eligible_TBA_NS,NS_Comment_TBA
7939,sCRP,5,?,?,?,?,?,.1,75,5,?,Eligible_sCRP_NS,NS_Comment_sCRP
7940,HB,5,?,?,?,?,?,3.42,12.4,5,?,?,NS_Comment_HB
7941,S-Fe,5,Male,?,?,?,?,3,45,5,?,Eligible_S-Fe_NS,NS_Comment_S-Fe
7942,S-Fe,5,Female,?,?,?,?,3,40.5,5,?,Eligible_S-Fe_NS,NS_Comment_S-Fe-F
7943,PA,5,Male,?,?,?,?,72,675,5,?,Eligible_PA_NS,NS_Comment_PA-M
7944,PA,5,Female,?,?,?,?,72,570,5,?,Eligible_PA_NS,NS_Comment_PA-F
7945,TRF,5,?,?,?,?,?,1.19,5.1,5,?,Eligible_TRF_NS,NS_Comment_TRF
7946,UIBC,5,?,?,?,?,?,18.6,77,5,?,Eligible_UIBC_NS,NS_Comment_UIBC
7947,Cl,5,?,?,?,?,?,84,114,5,?,Eligible_CL_NS,NS_Comment_Cl
7948,b2-MG,5,?,?,?,?,?,.7,6,5,?,Eligible_b2-MG_NS,NS_Comment_b2-MG
7949,TG,5,?,?,?,?,?,.3,5.1,5,?,Eligible_TG_NS,NS_Comment_TG
7950,K,5,?,?,?,?,?,2.98,5.3,5,?,Eligible_K_NS,NS_Comment_K
7951,Na,5,?,?,?,?,?,130,153,5,?,Eligible_Na_NS,NS_Comment_Na
7952,AFU,5,?,?,?,?,?,2,80,5,?,Eligible_AFU_NS,NS_Comment_AFU
7953,ADA,5,?,?,?,?,?,2,75,5,?,Eligible_ADA_NS,NS_Comment_ADA
7954,Lp(a),5,?,?,?,?,?,2,900,5,?,Eligible_LP(a)_NS,NS_Comment_Lp(a)
7955,T3,9,?,?,?,?,?,.92,2.79,1,?,?,NS_Comment_T3
7956,T4,9,?,?,?,?,?,58.1,140.6,1,?,?,NS_Comment_T4
7957,FT3,9,?,?,?,?,?,3.5,6.56,1,?,?,NS_Comment_FT3
7958,FT4,9,?,?,?,?,?,11.5,22.7,1,?,?,NS_Comment_FT4
7959,TSH3UL,9,?,?,?,?,?,.55,4.78,1,?,?,NS_Comment_TSH3UL
7960,aTG,9,?,?,?,?,?,0,60,5,?,?,NS_Comment_aTG
7961,aTPO,9,?,?,?,?,?,0,60,5,?,?,NS_Comment_aTPO
7962,CEA,5,?,?,?,?,?,0,40,5,?,Eligible_CEA_NS,NS_Comment_CEA
7963,AFP,5,?,?,?,?,?,0,100,5,?,Eligible_AFP_NS,NS_Comment_AFP
7964,CA125,5,?,?,?,?,?,0,175,5,?,Eligible_CA125_NS,NS_Comment_CA125
7966,CA153,5,?,?,?,?,?,0,162,5,?,Eligible_CA153_NS,NS_Comment_CA153
7967,CA199,5,?,?,?,?,?,0,155,5,?,Eligible_CA199_NS,NS_Comment_CA199
7968,PSA,5,?,?,?,?,?,0,20,5,?,Eligible_PSA_NS,NS_Comment_PSA
7969,cPSA,5,?,?,?,?,?,0,18,5,?,Eligible_cPSA_NS,NS_Comment_cPSA
7970,T-g,5,?,?,?,?,?,1,390,5,?,?,NS_Comment_T-g
7971,NSE,6,?,?,?,?,?,2,76,4,?,?,NS_Comment_NSE
7972,FER,5,Male,?,?,?,?,10.5,1000,5,?,Eligible_FER_NS,NS_Comment_FER-M
7973,FER,5,Female,?,?,?,?,8.4,750,5,?,Eligible_FER_NS,NS_Comment_FER-F
8166,MP,5,?,?,?,?,?,3,172,5,?,Eligible_MP_NS,NS_Comment_MP
8168,LH,5,?,?,?,?,?,.2,?,5,?,Eligible_LH_NS,NS_Comment_LH
8169,PRGE,5,?,?,?,?,?,.2,?,5,?,Eligible_PRGE_NS,NS_Comment_PRGE
8170,eE2,5,?,?,?,?,?,2,?,5,?,Eligible_eE2_NS,NS_Comment_eE2
8171,TSTO,5,?,?,?,?,?,5,?,5,?,Eligible_TSTO_NS,NS_Comment_TSTO
8172,FSH,5,?,?,?,?,?,.5,?,5,?,Eligible_FSH_NS,NS_Comment_FSH
8173,PRL,5,?,?,?,?,?,.5,?,5,?,Eligible_PRL_NS,NS_Comment_PRL
8174,COR,5,?,?,?,?,?,10,?,5,?,Eligible_COR_NS,NS_Comment_COR
8175,CpS,5,?,?,?,?,?,.5,?,5,?,Eligible_CPS_NS,NS_Comment_CpS
8176,IRI,5,?,?,?,?,?,1,?,5,?,Eligible_IRI_NS,NS_Comment_IRI
8337,ThCG,5,?,?,?,?,?,0,10,5,?,Eligible_ThCG_NS_V2,?
8434,Glu0,5,?,?,?,?,?,0,0,5,?,?,NS_Comment_Glu_Hold_Result
8435,Glu30c,5,?,?,?,?,?,0,0,5,?,?,NS_Comment_Glu_Hold_Result
8436,Glu180c,5,?,?,?,?,?,0,0,5,?,?,NS_Comment_Glu_Hold_Result
8437,Glu60c,5,?,?,?,?,?,0,0,5,?,?,NS_Comment_Glu_Hold_Result
8438,Glu120c,5,?,?,?,?,?,0,0,5,?,?,NS_Comment_Glu_Hold_Result
8492,CpS0,5,?,?,?,?,?,0,0,5,?,?,NS_Comment_CpS_Hold_Result
8493,CpS120c,5,?,?,?,?,?,0,0,5,?,?,NS_Comment_CpS_Hold_Result
8494,CpS180c,5,?,?,?,?,?,0,0,5,?,?,NS_Comment_CpS_Hold_Result
8495,CpS30c,5,?,?,?,?,?,0,0,5,?,?,NS_Comment_CpS_Hold_Result
8496,CpS60c,5,?,?,?,?,?,0,0,5,?,?,NS_Comment_CpS_Hold_Result
8547,IRI30c,5,?,?,?,?,?,0,0,5,?,?,NS_Comment_IRI_Hold_Result
8548,IRI60c,5,?,?,?,?,?,0,0,5,?,?,NS_Comment_IRI_Hold_Result
8549,IRI120c,5,?,?,?,?,?,0,0,5,?,?,NS_Comment_IRI_Hold_Result
8550,IRI180c,5,?,?,?,?,?,0,0,5,?,?,NS_Comment_IRI_Hold_Result
8551,IRI0,5,?,?,?,?,?,0,0,5,?,?,NS_Comment_IRI_Hold_Result
8577,dai,8,?,?,?,12,Year,0,0,1,?,?,NS_Comment_less_than_10
8582,bHB,5,?,?,?,?,?,.01,1.5,5,?,Eligible_bHB_NS,NS_Comment_bHB
8597,A/G,5,?,?,?,?,?,.6,2.8,5,?,?,NS_Comment_AdivG
8862,RBP,5,?,?,?,?,?,10,95,5,?,Eligible_RBP_NS,NS_Comment_RBP
8877,HP,5,?,?,?,?,?,0,15,1,?,?,?
9048,CREA,5,?,?,?,?,?,25,8000,5,?,Eligible_CREA_NS_Urine,NS_Comment_CREA_Urine
9051,ALP,5,?,?,0,13,Year,20,600,5,?,Eligible_ALP_NS,NS_Comment_ALP-M_Less_Than_12Y
9052,ALP,5,?,?,13,16,Year,20,850,5,?,Eligible_ALP_NS,NS_Comment_ALP-M_13Y_15Y
9082,FT3,5,?,?,?,?,?,3.5,?,1,?,?,L
9083,FT3,6,?,?,?,?,?,?,6.56,1,?,?,H
9084,FT3,7,?,?,?,?,?,10000,10000,1,?,?,N
9085,FT4,5,?,?,?,?,?,11.5,?,1,?,?,L
9086,FT4,6,?,?,?,?,?,?,22.7,1,?,?,H
9087,FT4,7,?,?,?,?,?,10000,10000,1,?,?,N
9088,TSH3UL,5,?,?,?,?,?,.55,?,1,?,?,L
9089,TSH3UL,6,?,?,?,?,?,?,4.78,1,?,?,H
9090,TSH3UL,7,?,?,?,?,?,10000,10000,1,?,?,N
9091,T3,5,?,?,?,?,?,.92,?,1,?,?,L
9092,T3,6,?,?,?,?,?,?,2.79,1,?,?,H
9093,T3,7,?,?,?,?,?,10000,10000,1,?,?,N
9094,T4,5,?,?,?,?,?,58.1,?,1,?,?,L
9095,T4,6,?,?,?,?,?,?,140.6,1,?,?,H
9096,T4,7,?,?,?,?,?,10000,10000,1,?,?,N
9097,aTG,5,?,?,?,?,?,15,?,1,?,?,N
9098,aTG,6,?,?,?,?,?,?,60,1,?,?,H
9099,aTG,7,?,?,?,?,?,10000,10000,1,?,?,N
9100,aTPO,5,?,?,?,?,?,28,?,1,?,?,N
9101,aTPO,6,?,?,?,?,?,?,60,1,?,?,H
9102,aTPO,7,?,?,?,?,?,10000,10000,1,?,?,N
9159,AFP,5,?,?,?,?,?,0,100,1,?,Eligible_AFP_NS_Cancer,NS_Comment_AFP
9160,CEA,5,?,?,?,?,?,0,40,1,?,Eligible_CEA_NS_Cancer,NS_Comment_CEA
9161,CA125,5,?,?,?,?,?,0,175,1,?,Eligible_CA125_NS_Cancer,NS_Comment_CA125
9162,CA153,5,?,?,?,?,?,0,162,5,?,Eligible_CA153_NS_Cancer,NS_Comment_CA153
9163,CA199,5,?,?,?,?,?,0,155,5,?,Eligible_CA199_NS_Cancer,NS_Comment_CA199
9167,GAp,5,?,?,?,?,?,7.7,40,5,?,?,NS_Comment_GAp
9178,C3,?,?,?,?,?,?,.63,2.7,1,?,?,?
9181,C4,?,?,?,?,?,?,.07,.6,1,?,?,?
9194,IgA,?,?,?,?,?,?,.6,6,1,?,?,?
9197,IgG,?,?,?,?,?,?,4.9,24,1,?,?,?
9200,IgM,?,?,?,?,?,?,.28,3.45,1,?,?,?
9209,RF,5,?,?,?,?,?,10,112,1,?,?,?
9212,ASO,5,?,?,?,?,?,30,400,1,?,?,?
